Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[_IdentityPlugin.dll]","[_IdentityPlugin.dll]",2,0,0.02,0.00,
"Caller","[_IdentityPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Callee","[_IdentityPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Root","[_ShieldWirelessControllerPlugin.dll]","[_ShieldWirelessControllerPlugin.dll]",2,0,0.02,0.00,
"Caller","[_ShieldWirelessControllerPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Callee","[_ShieldWirelessControllerPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Root","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Caller","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Caller","[apphelp.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Callee","[apphelp.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[atlthunk.dll]","[atlthunk.dll]",77,0,0.58,0.00,
"Caller","[atlthunk.dll]","[user32.dll]",77,0,0.58,0.00,
"Callee","[atlthunk.dll]","[ScriptedSandbox64.exe]",77,0,0.58,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Caller","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Caller","[bcrypt.dll]","[jscript9.dll]",1,0,0.01,0.00,
"Caller","[bcrypt.dll]","[mshtml.dll]",1,0,0.01,0.00,
"Callee","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Callee","[bcrypt.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcrypt.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",1,1,0.01,0.01,
"Caller","[bcrypt.dll]","[crypt32.dll]",1,1,0.01,0.01,
"Root","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Caller","[bcryptprimitives.dll]","[bcrypt.dll]",1,0,0.01,0.00,
"Caller","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcryptprimitives.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Caller","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Caller","[cfgmgr32.dll]","[devobj.dll]",1,0,0.01,0.00,
"Callee","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Callee","[cfgmgr32.dll]","[kernel32.dll]",1,0,0.01,0.00,
"Root","[clr.dll]","[clr.dll]",1,1,0.01,0.01,
"Caller","[clr.dll]","[Newtonsoft.Json.ni.dll]",1,1,0.01,0.01,
"Root","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Caller","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Caller","[cmd.exe]","[kernel32.dll]",2,0,0.02,0.00,
"Callee","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Callee","[cmd.exe]","[KernelBase.dll]",1,0,0.01,0.00,
"Root","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Caller","[combase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Callee","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Callee","[combase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Root","[combase.dll]","[combase.dll]",32,3,0.24,0.02,
"Caller","[combase.dll]","[combase.dll]",30,1,0.23,0.01,
"Caller","[combase.dll]","[ieframe.dll]",1,0,0.01,0.00,
"Caller","[combase.dll]","[jscript9.dll]",3,1,0.02,0.01,
"Caller","[combase.dll]","[mshtml.dll]",9,0,0.07,0.00,
"Caller","[combase.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[ole32.dll]",4,0,0.03,0.00,
"Caller","[combase.dll]","[ScriptedSandbox64.exe]",7,0,0.05,0.00,
"Caller","[combase.dll]","[urlmon.dll]",4,0,0.03,0.00,
"Caller","[combase.dll]","[windows.storage.dll]",3,0,0.02,0.00,
"Callee","[combase.dll]","[combase.dll]",30,1,0.23,0.01,
"Callee","[combase.dll]","[ieframe.dll]",2,0,0.02,0.00,
"Callee","[combase.dll]","[KernelBase.dll]",16,0,0.12,0.00,
"Callee","[combase.dll]","[rpcrt4.dll]",2,0,0.02,0.00,
"Callee","[combase.dll]","[ScriptedSandbox64.exe]",5,0,0.04,0.00,
"Callee","[combase.dll]","[ucrtbase.dll]",1,1,0.01,0.01,
"Callee","[combase.dll]","[user32.dll]",2,0,0.02,0.00,
"Callee","[combase.dll]","[WindowsCodecs.dll]",1,0,0.01,0.00,
"Root","[comctl32.dll]","[comctl32.dll]",1,0,0.01,0.00,
"Caller","[comctl32.dll]","[ieframe.dll]",1,0,0.01,0.00,
"Callee","[comctl32.dll]","[user32.dll]",1,0,0.01,0.00,
"Root","[crypt32.dll]","[crypt32.dll]",29,0,0.22,0.00,
"Caller","[crypt32.dll]","[crypt32.dll]",29,0,0.22,0.00,
"Caller","[crypt32.dll]","[msasn1.dll]",2,0,0.02,0.00,
"Caller","[crypt32.dll]","[nvldumdx.dll]",28,0,0.21,0.00,
"Caller","[crypt32.dll]","[nvwgf2umx_cfg.dll]",1,0,0.01,0.00,
"Callee","[crypt32.dll]","[bcrypt.dll]",1,1,0.01,0.01,
"Callee","[crypt32.dll]","[crypt32.dll]",29,0,0.22,0.00,
"Callee","[crypt32.dll]","[KernelBase.dll]",7,7,0.05,0.05,
"Callee","[crypt32.dll]","[msasn1.dll]",2,0,0.02,0.00,
"Callee","[crypt32.dll]","[ucrtbase.dll]",1,1,0.01,0.01,
"Callee","[crypt32.dll]","[wintrust.dll]",19,0,0.14,0.00,
"Root","[crypt32.dll]","[crypt32.dll]",1,0,0.01,0.00,
"Caller","[crypt32.dll]","[crypt32.dll]",1,0,0.01,0.00,
"Caller","[crypt32.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[crypt32.dll]","[crypt32.dll]",1,0,0.01,0.00,
"Callee","[crypt32.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[d2d1.dll]","[d2d1.dll]",46,11,0.35,0.08,
"Caller","[d2d1.dll]","[d2d1.dll]",45,9,0.34,0.07,
"Caller","[d2d1.dll]","[mshtml.dll]",45,1,0.34,0.01,
"Caller","[d2d1.dll]","[msvcrt.dll]",1,1,0.01,0.01,
"Caller","[d2d1.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[d2d1.dll]","[d2d1.dll]",45,9,0.34,0.07,
"Callee","[d2d1.dll]","[d3d11.dll]",34,1,0.26,0.01,
"Callee","[d2d1.dll]","[msvcrt.dll]",2,0,0.02,0.00,
"Root","[d3d10warp.dll]","[d3d10warp.dll]",57,35,0.43,0.27,
"Caller","[d3d10warp.dll]","[d3d10warp.dll]",57,35,0.43,0.27,
"Caller","[d3d10warp.dll]","[d3d11.dll]",29,0,0.22,0.00,
"Caller","[d3d10warp.dll]","[ntdll.dll]",28,0,0.21,0.00,
"Callee","[d3d10warp.dll]","[d3d10warp.dll]",57,35,0.43,0.27,
"Callee","[d3d10warp.dll]","[d3d11.dll]",10,0,0.08,0.00,
"Callee","[d3d10warp.dll]","[KernelBase.dll]",1,0,0.01,0.00,
"Callee","[d3d10warp.dll]","[ntdll.dll]",7,5,0.05,0.04,
"Callee","[d3d10warp.dll]","[ucrtbase.dll]",3,3,0.02,0.02,
"Callee","[d3d10warp.dll]","[win32u.dll]",1,1,0.01,0.01,
"Root","[d3d11.dll]","[d3d11.dll]",29,29,0.22,0.22,
"Caller","[d3d11.dll]","[igd10iumd64.dll]",3,3,0.02,0.02,
"Caller","[d3d11.dll]","[nvwgf2umx_cfg.dll]",26,26,0.20,0.20,
"Root","[d3d11.dll]","[d3d11.dll]",41,5,0.31,0.04,
"Caller","[d3d11.dll]","[d2d1.dll]",34,1,0.26,0.01,
"Caller","[d3d11.dll]","[d3d10warp.dll]",10,0,0.08,0.00,
"Caller","[d3d11.dll]","[d3d11.dll]",27,4,0.20,0.03,
"Caller","[d3d11.dll]","[mshtml.dll]",7,0,0.05,0.00,
"Callee","[d3d11.dll]","[d3d10warp.dll]",29,0,0.22,0.00,
"Callee","[d3d11.dll]","[d3d11.dll]",27,4,0.20,0.03,
"Callee","[d3d11.dll]","[dxgi.dll]",2,0,0.02,0.00,
"Callee","[d3d11.dll]","[gdi32.dll]",4,0,0.03,0.00,
"Callee","[d3d11.dll]","[KernelBase.dll]",1,0,0.01,0.00,
"Callee","[d3d11.dll]","[ntdll.dll]",4,0,0.03,0.00,
"Callee","[d3d11.dll]","[win32u.dll]",6,6,0.05,0.05,
"Root","[d3d11.dll]","[d3d11.dll]",1,0,0.01,0.00,
"Caller","[d3d11.dll]","[d3d11.dll]",1,0,0.01,0.00,
"Callee","[d3d11.dll]","[d3d11.dll]",1,0,0.01,0.00,
"Callee","[d3d11.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[d3d11.dll]","[d3d11.dll]",26,25,0.20,0.19,
"Caller","[d3d11.dll]","[igd10iumd64.dll]",26,25,0.20,0.19,
"Callee","[d3d11.dll]","[igd10iumd64.dll]",1,0,0.01,0.00,
"Root","[d3d9.dll]","[d3d9.dll]",31,31,0.23,0.23,
"Caller","[d3d9.dll]","[igdumdim32.dll]",31,31,0.23,0.23,
"Root","[DataExchange.dll]","[DataExchange.dll]",3,0,0.02,0.00,
"Caller","[DataExchange.dll]","[ole32.dll]",3,0,0.02,0.00,
"Callee","[DataExchange.dll]","[twinapi.appcore.dll]",3,0,0.02,0.00,
"Root","[devenv.exe]","[devenv.exe]",1,1,0.01,0.01,
"Caller","[devenv.exe]","[igdumdim32.dll]",1,1,0.01,0.01,
"Root","[devobj.dll]","[devobj.dll]",1,0,0.01,0.00,
"Caller","[devobj.dll]","[devobj.dll]",1,0,0.01,0.00,
"Caller","[devobj.dll]","[setupapi.dll]",1,0,0.01,0.00,
"Callee","[devobj.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Callee","[devobj.dll]","[devobj.dll]",1,0,0.01,0.00,
"Root","[Dptf.dll]","[Dptf.dll]",9,3,0.07,0.02,
"Caller","[Dptf.dll]","[Dptf.dll]",9,3,0.07,0.02,
"Caller","[Dptf.dll]","[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"Callee","[Dptf.dll]","[Dptf.dll]",9,3,0.07,0.02,
"Callee","[Dptf.dll]","[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"Callee","[Dptf.dll]","[esif_umdf2.dll]",6,0,0.05,0.00,
"Root","[DptfPolicyPassive2.dll]","[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"Caller","[DptfPolicyPassive2.dll]","[Dptf.dll]",7,0,0.05,0.00,
"Caller","[DptfPolicyPassive2.dll]","[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"Callee","[DptfPolicyPassive2.dll]","[Dptf.dll]",7,0,0.05,0.00,
"Callee","[DptfPolicyPassive2.dll]","[DptfPolicyPassive2.dll]",7,0,0.05,0.00,
"Root","[dwmapi.dll]","[dwmapi.dll]",5,5,0.04,0.04,
"Caller","[dwmapi.dll]","[ig9icd32.dll]",5,5,0.04,0.04,
"Root","[dwmapi.dll]","[dwmapi.dll]",1,0,0.01,0.00,
"Caller","[dwmapi.dll]","[nvcuda.dll]",1,0,0.01,0.00,
"Callee","[dwmapi.dll]","[user32.dll]",1,0,0.01,0.00,
"Root","[DWrite.dll]","[DWrite.dll]",1,1,0.01,0.01,
"Caller","[DWrite.dll]","[DWrite.dll]",1,1,0.01,0.01,
"Caller","[DWrite.dll]","[mshtml.dll]",1,0,0.01,0.00,
"Callee","[DWrite.dll]","[DWrite.dll]",1,1,0.01,0.01,
"Root","[dxgi.dll]","[dxgi.dll]",1,0,0.01,0.00,
"Caller","[dxgi.dll]","[dxgi.dll]",1,0,0.01,0.00,
"Caller","[dxgi.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[dxgi.dll]","[dxgi.dll]",1,0,0.01,0.00,
"Callee","[dxgi.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[dxgi.dll]","[dxgi.dll]",13,1,0.10,0.01,
"Caller","[dxgi.dll]","[d3d11.dll]",2,0,0.02,0.00,
"Caller","[dxgi.dll]","[dxgi.dll]",8,1,0.06,0.01,
"Caller","[dxgi.dll]","[mshtml.dll]",11,0,0.08,0.00,
"Caller","[dxgi.dll]","[nvdlistx.dll]",1,0,0.01,0.00,
"Callee","[dxgi.dll]","[dxgi.dll]",8,1,0.06,0.01,
"Callee","[dxgi.dll]","[KernelBase.dll]",7,0,0.05,0.00,
"Callee","[dxgi.dll]","[nvdlistx.dll]",1,0,0.01,0.00,
"Callee","[dxgi.dll]","[ResourcePolicyClient.dll]",1,0,0.01,0.00,
"Callee","[dxgi.dll]","[win32u.dll]",4,4,0.03,0.03,
"Root","[esif_umdf2.dll]","[esif_umdf2.dll]",6,0,0.05,0.00,
"Caller","[esif_umdf2.dll]","[Dptf.dll]",6,0,0.05,0.00,
"Caller","[esif_umdf2.dll]","[esif_umdf2.dll]",6,0,0.05,0.00,
"Callee","[esif_umdf2.dll]","[esif_umdf2.dll]",6,0,0.05,0.00,
"Callee","[esif_umdf2.dll]","[KernelBase.dll]",6,6,0.05,0.05,
"Root","[gdi32.dll]","[gdi32.dll]",9,0,0.07,0.00,
"Caller","[gdi32.dll]","[d3d11.dll]",4,0,0.03,0.00,
"Caller","[gdi32.dll]","[mshtml.dll]",5,0,0.04,0.00,
"Callee","[gdi32.dll]","[gdi32full.dll]",5,0,0.04,0.00,
"Callee","[gdi32.dll]","[win32u.dll]",4,4,0.03,0.03,
"Root","[gdi32.dll]","[gdi32.dll]",21,1,0.16,0.01,
"Caller","[gdi32.dll]","[nvcuda.dll]",21,1,0.16,0.01,
"Callee","[gdi32.dll]","[win32u.dll]",20,20,0.15,0.15,
"Root","[gdi32full.dll]","[gdi32full.dll]",5,0,0.04,0.00,
"Caller","[gdi32full.dll]","[gdi32.dll]",5,0,0.04,0.00,
"Callee","[gdi32full.dll]","[win32u.dll]",5,5,0.04,0.04,
"Root","[gdi32full.dll]","[gdi32full.dll]",1,1,0.01,0.01,
"Caller","[gdi32full.dll]","[nvcuda.dll]",1,1,0.01,0.01,
"Root","[ieframe.dll]","[ieframe.dll]",157,3,1.19,0.02,
"Caller","[ieframe.dll]","[combase.dll]",2,0,0.02,0.00,
"Caller","[ieframe.dll]","[ieframe.dll]",150,2,1.14,0.02,
"Caller","[ieframe.dll]","[mshtml.dll]",62,1,0.47,0.01,
"Caller","[ieframe.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Caller","[ieframe.dll]","[ScriptedSandbox64.exe]",77,0,0.58,0.00,
"Caller","[ieframe.dll]","[urlmon.dll]",10,0,0.08,0.00,
"Caller","[ieframe.dll]","[user32.dll]",66,0,0.50,0.00,
"Caller","[ieframe.dll]","[windows.storage.dll]",4,0,0.03,0.00,
"Callee","[ieframe.dll]","[combase.dll]",1,0,0.01,0.00,
"Callee","[ieframe.dll]","[comctl32.dll]",1,0,0.01,0.00,
"Callee","[ieframe.dll]","[ieframe.dll]",150,2,1.14,0.02,
"Callee","[ieframe.dll]","[iertutil.dll]",4,0,0.03,0.00,
"Callee","[ieframe.dll]","[kernel32.dll]",1,1,0.01,0.01,
"Callee","[ieframe.dll]","[KernelBase.dll]",4,2,0.03,0.02,
"Callee","[ieframe.dll]","[mshtml.dll]",48,1,0.36,0.01,
"Callee","[ieframe.dll]","[ole32.dll]",6,0,0.05,0.00,
"Callee","[ieframe.dll]","[propsys.dll]",1,0,0.01,0.00,
"Callee","[ieframe.dll]","[ScriptedSandbox64.exe]",12,0,0.09,0.00,
"Callee","[ieframe.dll]","[shell32.dll]",23,0,0.17,0.00,
"Callee","[ieframe.dll]","[urlmon.dll]",39,0,0.30,0.00,
"Callee","[ieframe.dll]","[user32.dll]",55,0,0.42,0.00,
"Callee","[ieframe.dll]","[win32u.dll]",14,10,0.11,0.08,
"Callee","[ieframe.dll]","[windows.storage.dll]",7,0,0.05,0.00,
"Callee","[ieframe.dll]","[wininet.dll]",4,0,0.03,0.00,
"Root","[iertutil.dll]","[iertutil.dll]",43,7,0.33,0.05,
"Caller","[iertutil.dll]","[ieframe.dll]",4,0,0.03,0.00,
"Caller","[iertutil.dll]","[iertutil.dll]",36,5,0.27,0.04,
"Caller","[iertutil.dll]","[mshtml.dll]",11,0,0.08,0.00,
"Caller","[iertutil.dll]","[msvcrt.dll]",1,1,0.01,0.01,
"Caller","[iertutil.dll]","[urlmon.dll]",27,1,0.20,0.01,
"Caller","[iertutil.dll]","[wininet.dll]",2,0,0.02,0.00,
"Callee","[iertutil.dll]","[iertutil.dll]",36,5,0.27,0.04,
"Callee","[iertutil.dll]","[KernelBase.dll]",12,2,0.09,0.02,
"Callee","[iertutil.dll]","[msvcrt.dll]",2,1,0.02,0.01,
"Callee","[iertutil.dll]","[ntdll.dll]",2,2,0.02,0.02,
"Callee","[iertutil.dll]","[ScriptedSandbox64.exe]",16,0,0.12,0.00,
"Callee","[iertutil.dll]","[urlmon.dll]",4,0,0.03,0.00,
"Callee","[iertutil.dll]","[windows.storage.dll]",2,0,0.02,0.00,
"Root","[ig9icd32.dll]","[ig9icd32.dll]",67,1,0.51,0.01,
"Callee","[ig9icd32.dll]","[dwmapi.dll]",5,5,0.04,0.04,
"Callee","[ig9icd32.dll]","[ntdll.dll]",16,4,0.12,0.03,
"Callee","[ig9icd32.dll]","[user32.dll]",44,44,0.33,0.33,
"Callee","[ig9icd32.dll]","[wow64cpu.dll]",1,1,0.01,0.01,
"Root","[igc32.dll]","[igc32.dll]",80,63,0.61,0.48,
"Caller","[igc32.dll]","[igc32.dll]",80,63,0.61,0.48,
"Caller","[igc32.dll]","[igdumdim32.dll]",80,0,0.61,0.00,
"Callee","[igc32.dll]","[igc32.dll]",80,63,0.61,0.48,
"Callee","[igc32.dll]","[kernel32.dll]",1,1,0.01,0.01,
"Callee","[igc32.dll]","[ntdll.dll]",16,16,0.12,0.12,
"Root","[igc64.dll]","[igc64.dll]",4,1,0.03,0.01,
"Caller","[igc64.dll]","[igc64.dll]",4,1,0.03,0.01,
"Caller","[igc64.dll]","[KernelBase.dll]",4,0,0.03,0.00,
"Callee","[igc64.dll]","[igc64.dll]",4,1,0.03,0.01,
"Callee","[igc64.dll]","[ntdll.dll]",3,3,0.02,0.02,
"Root","[igd10iumd64.dll]","[igd10iumd64.dll]",12,1,0.09,0.01,
"Caller","[igd10iumd64.dll]","[igd10iumd64.dll]",11,1,0.08,0.01,
"Callee","[igd10iumd64.dll]","[d3d11.dll]",3,3,0.02,0.02,
"Callee","[igd10iumd64.dll]","[igd10iumd64.dll]",11,1,0.08,0.01,
"Callee","[igd10iumd64.dll]","[igd10iumd64.dll]",2,0,0.02,0.00,
"Callee","[igd10iumd64.dll]","[KernelBase.dll]",5,1,0.04,0.01,
"Callee","[igd10iumd64.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[igd10iumd64.dll]","[igd10iumd64.dll]",36,9,0.27,0.07,
"Caller","[igd10iumd64.dll]","[d3d11.dll]",1,0,0.01,0.00,
"Caller","[igd10iumd64.dll]","[igd10iumd64.dll]",30,7,0.23,0.05,
"Callee","[igd10iumd64.dll]","[d3d11.dll]",26,25,0.20,0.19,
"Callee","[igd10iumd64.dll]","[igd10iumd64.dll]",30,7,0.23,0.05,
"Callee","[igd10iumd64.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Callee","[igd10iumd64.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[igd10iumd64.dll]","[igd10iumd64.dll]",2,0,0.02,0.00,
"Caller","[igd10iumd64.dll]","[igd10iumd64.dll]",2,0,0.02,0.00,
"Caller","[igd10iumd64.dll]","[igd10iumd64.dll]",2,0,0.02,0.00,
"Callee","[igd10iumd64.dll]","[igd10iumd64.dll]",2,0,0.02,0.00,
"Callee","[igd10iumd64.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Callee","[igd10iumd64.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[igdumdim32.dll]","[igdumdim32.dll]",122,7,0.92,0.05,
"Caller","[igdumdim32.dll]","[igdumdim32.dll]",114,5,0.86,0.04,
"Callee","[igdumdim32.dll]","[d3d9.dll]",31,31,0.23,0.23,
"Callee","[igdumdim32.dll]","[devenv.exe]",1,1,0.01,0.01,
"Callee","[igdumdim32.dll]","[igc32.dll]",80,0,0.61,0.00,
"Callee","[igdumdim32.dll]","[igdumdim32.dll]",114,5,0.86,0.04,
"Callee","[igdumdim32.dll]","[ntdll.dll]",3,3,0.02,0.02,
"Root","[imagehlp.dll]","[imagehlp.dll]",19,19,0.14,0.14,
"Caller","[imagehlp.dll]","[imagehlp.dll]",19,19,0.14,0.14,
"Caller","[imagehlp.dll]","[wintrust.dll]",19,0,0.14,0.00,
"Callee","[imagehlp.dll]","[imagehlp.dll]",19,19,0.14,0.14,
"Root","[imm32.dll]","[imm32.dll]",1,0,0.01,0.00,
"Caller","[imm32.dll]","[user32.dll]",1,0,0.01,0.00,
"Callee","[imm32.dll]","[KernelBase.dll]",1,0,0.01,0.00,
"Root","[jscript9.dll]","[jscript9.dll]","1,506","1,091",11.41,8.26,
"Caller","[jscript9.dll]","[jscript9.dll]","1,503","1,080",11.39,8.18,
"Caller","[jscript9.dll]","[mshtml.dll]","1,003",3,7.60,0.02,
"Caller","[jscript9.dll]","[msvcrt.dll]",488,0,3.70,0.00,
"Caller","[jscript9.dll]","[ScriptedSandbox64.exe]",72,8,0.55,0.06,
"Callee","[jscript9.dll]","[bcrypt.dll]",1,0,0.01,0.00,
"Callee","[jscript9.dll]","[combase.dll]",3,1,0.02,0.01,
"Callee","[jscript9.dll]","[jscript9.dll]","1,503","1,080",11.39,8.18,
"Callee","[jscript9.dll]","[kernel32.dll]",2,2,0.02,0.02,
"Callee","[jscript9.dll]","[KernelBase.dll]",123,2,0.93,0.02,
"Callee","[jscript9.dll]","[mshtml.dll]",258,2,1.95,0.02,
"Callee","[jscript9.dll]","[msvcrt.dll]",92,76,0.70,0.58,
"Callee","[jscript9.dll]","[ntdll.dll]",11,5,0.08,0.04,
"Callee","[jscript9.dll]","[oleaut32.dll]",6,5,0.05,0.04,
"Root","[kernel32.dll]","[kernel32.dll]",3,0,0.02,0.00,
"Caller","[kernel32.dll]","[ntdll.dll]",3,0,0.02,0.00,
"Callee","[kernel32.dll]","[cmd.exe]",2,0,0.02,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[kernel32.dll]","[kernel32.dll]",2,2,0.02,0.02,
"Caller","[kernel32.dll]","[igc32.dll]",1,1,0.01,0.01,
"Caller","[kernel32.dll]","[Qt5CoreNvda.dll]",1,1,0.01,0.01,
"Root","[kernel32.dll]","[kernel32.dll]","2,034",12,15.41,0.09,
"Caller","[kernel32.dll]","[ieframe.dll]",1,1,0.01,0.01,
"Caller","[kernel32.dll]","[jscript9.dll]",2,2,0.02,0.02,
"Caller","[kernel32.dll]","[kernel32.dll]",9,2,0.07,0.02,
"Caller","[kernel32.dll]","[KernelBase.dll]",4,0,0.03,0.00,
"Caller","[kernel32.dll]","[mshtml.dll]",2,2,0.02,0.02,
"Caller","[kernel32.dll]","[ntdll.dll]","2,034",0,15.41,0.00,
"Caller","[kernel32.dll]","[oleaut32.dll]",1,0,0.01,0.00,
"Caller","[kernel32.dll]","[ScriptedSandbox64.exe]",28,5,0.21,0.04,
"Callee","[kernel32.dll]","[kernel32.dll]",9,2,0.07,0.02,
"Callee","[kernel32.dll]","[KernelBase.dll]",2,0,0.02,0.00,
"Callee","[kernel32.dll]","[mshtml.dll]",28,0,0.21,0.00,
"Callee","[kernel32.dll]","[msvcrt.dll]",496,0,3.76,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]",68,24,0.52,0.18,
"Callee","[kernel32.dll]","[nvdlistx.dll]",1,0,0.01,0.00,
"Callee","[kernel32.dll]","[ScriptedSandbox64.exe]","1,465",2,11.10,0.02,
"Root","[kernel32.dll]","[kernel32.dll]","10,537",1,79.82,0.01,
"Caller","[kernel32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Caller","[kernel32.dll]","[ntdll.dll]","10,537",0,79.82,0.00,
"Caller","[kernel32.dll]","[nvcuda.dll]",2,1,0.02,0.01,
"Caller","[kernel32.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Callee","[kernel32.dll]","[KernelBase.dll]",2,0,0.02,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]",6,0,0.05,0.00,
"Callee","[kernel32.dll]","[nvcuda.dll]",5,0,0.04,0.00,
"Callee","[kernel32.dll]","__scrt_common_main_seh","10,527",0,79.74,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]",30,18,0.23,0.14,
"Caller","[KernelBase.dll]","[crypt32.dll]",7,7,0.05,0.05,
"Caller","[KernelBase.dll]","[igd10iumd64.dll]",5,1,0.04,0.01,
"Caller","[KernelBase.dll]","[igd10iumd64.dll]",1,1,0.01,0.01,
"Caller","[KernelBase.dll]","[NvCameraWhitelisting64.dll]",1,1,0.01,0.01,
"Caller","[KernelBase.dll]","[nvldumdx.dll]",11,3,0.08,0.02,
"Caller","[KernelBase.dll]","[nvldumdx.dll]",1,1,0.01,0.01,
"Caller","[KernelBase.dll]","[nvwgf2umx_cfg.dll]",4,3,0.03,0.02,
"Caller","[KernelBase.dll]","[nvwgf2umx_cfg.dll]",1,1,0.01,0.01,
"Callee","[KernelBase.dll]","[igc64.dll]",4,0,0.03,0.00,
"Callee","[KernelBase.dll]","[NvCameraWhitelisting64.dll]",1,0,0.01,0.00,
"Callee","[KernelBase.dll]","[nvwgf2umx_cfg.dll]",1,0,0.01,0.00,
"Callee","[KernelBase.dll]","[nvwgf2umx_cfg.dll]",6,0,0.05,0.00,
"Callee","[KernelBase.dll]","[winmmbase.dll]",1,0,0.01,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Caller","[KernelBase.dll]","[NvTelemetry64.dll]",1,1,0.01,0.01,
"Root","[KernelBase.dll]","[KernelBase.dll]",6,6,0.05,0.05,
"Caller","[KernelBase.dll]","[esif_umdf2.dll]",6,6,0.05,0.05,
"Root","[KernelBase.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Caller","[KernelBase.dll]","[igd10iumd64.dll]",1,1,0.01,0.01,
"Root","[KernelBase.dll]","[KernelBase.dll]",2,0,0.02,0.00,
"Caller","[KernelBase.dll]","[cmd.exe]",1,0,0.01,0.00,
"Caller","[KernelBase.dll]","[KernelBase.dll]",2,0,0.02,0.00,
"Caller","[KernelBase.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[KernelBase.dll]","[KernelBase.dll]",2,0,0.02,0.00,
"Callee","[KernelBase.dll]","[ntdll.dll]",2,0,0.02,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]",31,0,0.23,0.00,
"Caller","[KernelBase.dll]","[kernel32.dll]",2,0,0.02,0.00,
"Caller","[KernelBase.dll]","[KernelBase.dll]",6,0,0.05,0.00,
"Caller","[KernelBase.dll]","[msvcp140.dll]",1,0,0.01,0.00,
