Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[ntdll.dll]","[KernelBase.dll]",389,298,2.11,1.61,
"Caller","[ntdll.dll]","[msvcp140.dll]",19,8,0.10,0.04,
"Caller","[ntdll.dll]","[ntdll.dll]","18,137",138,98.24,0.75,
"Caller","[ntdll.dll]","[ucrtbase.dll]",12,7,0.07,0.04,
"Caller","[ntdll.dll]","Concurrency::details::_Task_impl_base::_Task_impl_base",1,1,0.01,0.01,
"Callee","[ntdll.dll]","[kernel32.dll]","18,457",0,99.98,0.00,
"Callee","[ntdll.dll]","[KernelBase.dll]",2,0,0.01,0.00,
"Callee","[ntdll.dll]","[msvcp140.dll]","18,010",0,97.56,0.00,
"Callee","[ntdll.dll]","[ntdll.dll]","18,137",138,98.24,0.75,
"Root","[ucrtbase.dll]","[ucrtbase.dll]",46,33,0.25,0.18,
"Caller","[ucrtbase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Caller","[ucrtbase.dll]","__scrt_common_main_seh",1,0,0.01,0.00,
"Caller","[ucrtbase.dll]","_dsc_op_pay_off",3,3,0.02,0.02,
"Caller","[ucrtbase.dll]","_swaption_pay_off",3,3,0.02,0.02,
"Caller","[ucrtbase.dll]","Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>::`scalar deleting destructor'",1,0,0.01,0.00,
"Caller","[ucrtbase.dll]","LIBOR_model::y",5,5,0.03,0.03,
"Caller","[ucrtbase.dll]","OIS_model::_A_",12,12,0.07,0.07,
"Caller","[ucrtbase.dll]","OIS_model::P",3,3,0.02,0.02,
"Caller","[ucrtbase.dll]","operator new",8,1,0.04,0.01,
"Caller","[ucrtbase.dll]","rand_tools::randn",4,4,0.02,0.02,
"Caller","[ucrtbase.dll]","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",3,0,0.02,0.00,
"Caller","[ucrtbase.dll]","std::_Ref_count_obj<Concurrency::details::_Task_impl<unsigned char> >::`scalar deleting destructor'",3,2,0.02,0.01,
"Callee","[ucrtbase.dll]","[kernel32.dll]",1,0,0.01,0.00,
"Callee","[ucrtbase.dll]","[ntdll.dll]",12,7,0.07,0.04,
"Callee","[ucrtbase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Root","__scrt_common_main_seh","__scrt_common_main_seh",422,0,2.29,0.00,
"Caller","__scrt_common_main_seh","[kernel32.dll]",422,0,2.29,0.00,
"Callee","__scrt_common_main_seh","[ucrtbase.dll]",1,0,0.01,0.00,
"Callee","__scrt_common_main_seh","main",421,0,2.28,0.00,
"Root","__sse2_pow2","__sse2_pow2",6,1,0.03,0.01,
"Caller","__sse2_pow2","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",6,1,0.03,0.01,
"Callee","__sse2_pow2","pow_scalar",5,5,0.03,0.03,
"Root","_dsc_op_pay_off","_dsc_op_pay_off","7,270",4,39.38,0.02,
"Caller","_dsc_op_pay_off","std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &>,void>::_Do_call","7,270",4,39.38,0.02,
"Callee","_dsc_op_pay_off","[ucrtbase.dll]",3,3,0.02,0.02,
"Callee","_dsc_op_pay_off","LIBOR_model::y","3,577",2,19.38,0.01,
"Callee","_dsc_op_pay_off","OIS_model::P","3,675",2,19.91,0.01,
"Callee","_dsc_op_pay_off","rand_tools::randn",11,6,0.06,0.03,
"Root","_one_sim","_one_sim",173,7,0.94,0.04,
"Caller","_one_sim","std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,double,double,double,unsigned int,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,double &,double &,double &,unsigned int &,double * &>,void>::_Do_call",173,7,0.94,0.04,
"Callee","_one_sim","rand_tools::randn",166,38,0.90,0.21,
"Root","_swaption_pay_off","_swaption_pay_off","10,539",2,57.09,0.01,
"Caller","_swaption_pay_off","std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &>,void>::_Do_call","10,539",2,57.09,0.01,
"Callee","_swaption_pay_off","[ucrtbase.dll]",3,3,0.02,0.02,
"Callee","_swaption_pay_off","LIBOR_model::y","6,950",9,37.65,0.05,
"Callee","_swaption_pay_off","OIS_model::P","3,584",3,19.41,0.02,
"Root","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",6,0,0.03,0.00,
"Caller","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >","rand_tools::rand01_skip_ahead",6,0,0.03,0.00,
"Callee","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >","__sse2_pow2",6,1,0.03,0.01,
"Root","arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >","arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >",1,1,0.01,0.01,
"Caller","arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,1,0.01,0.01,
"Root","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,0,0.01,0.00,
"Caller","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,
"Callee","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >","arma::gemv_emul_helper::dot_row_col<int,arma::Mat<int> >",1,1,0.01,0.01,
"Root","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,
"Caller","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >","rand_tools::rand01_skip_ahead",1,0,0.01,0.00,
"Callee","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >","arma::gemv_emul<0,0,0>::apply<int,arma::Mat<int> >",1,0,0.01,0.00,
"Root","Concurrency::_Init_func_transformer<void>::_Perform","Concurrency::_Init_func_transformer<void>::_Perform",1,0,0.01,0.00,
"Caller","Concurrency::_Init_func_transformer<void>::_Perform","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",1,0,0.01,0.00,
"Callee","Concurrency::_Init_func_transformer<void>::_Perform","std::_Global_new<std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>,<lambda_052e919cc0e5399df76dff3972c0cac1> >",1,0,0.01,0.00,
"Root","Concurrency::create_task<<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >","Concurrency::create_task<<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >",4,0,0.02,0.00,
"Caller","Concurrency::create_task<<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >","std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &> >",4,0,0.02,0.00,
"Callee","Concurrency::create_task<<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >","Concurrency::task<void>::task<void><<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >",4,0,0.02,0.00,
"Root","Concurrency::create_task<<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >","Concurrency::create_task<<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",3,0,0.02,0.00,
"Caller","Concurrency::create_task<<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >","std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,double,double,double,unsigned int,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,double &,double &,double &,unsigned int &,double * &> >",3,0,0.02,0.00,
"Callee","Concurrency::create_task<<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >","Concurrency::task<void>::task<void><<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",3,0,0.02,0.00,
"Root","Concurrency::create_task<<lambda_550df6c48817ce6ec49393f9f99350ae> >","Concurrency::create_task<<lambda_550df6c48817ce6ec49393f9f99350ae> >",9,0,0.05,0.00,
"Caller","Concurrency::create_task<<lambda_550df6c48817ce6ec49393f9f99350ae> >","std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &> >",9,0,0.05,0.00,
"Callee","Concurrency::create_task<<lambda_550df6c48817ce6ec49393f9f99350ae> >","Concurrency::task<void>::task<void><<lambda_550df6c48817ce6ec49393f9f99350ae> >",9,1,0.05,0.01,
"Root","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","18,010",0,97.56,0.00,
"Caller","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","[msvcp140.dll]","18,010",0,97.56,0.00,
"Callee","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","[msvcp140.dll]",3,1,0.02,0.01,
"Callee","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","Concurrency::details::_TaskProcHandle::_RunChoreBridge","18,006",0,97.54,0.00,
"Callee","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>::`scalar deleting destructor'",1,0,0.01,0.00,
"Root","Concurrency::details::_DefaultPPLTaskScheduler::schedule","Concurrency::details::_DefaultPPLTaskScheduler::schedule",8,0,0.04,0.00,
"Caller","Concurrency::details::_DefaultPPLTaskScheduler::schedule","Concurrency::details::_Task_impl_base::_ScheduleTask",8,0,0.04,0.00,
"Callee","Concurrency::details::_DefaultPPLTaskScheduler::schedule","[msvcp140.dll]",6,0,0.03,0.00,
"Callee","Concurrency::details::_DefaultPPLTaskScheduler::schedule","operator new",2,1,0.01,0.01,
"Root","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","7,279",0,39.43,0.00,
"Caller","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_TaskProcHandle::_RunChoreBridge","7,279",0,39.43,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",3,0,0.02,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","7,274",0,39.40,0.00,
"Root","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",179,0,0.97,0.00,
"Caller","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_TaskProcHandle::_RunChoreBridge",179,0,0.97,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::_Init_func_transformer<void>::_Perform",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",2,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call",175,0,0.95,0.00,
"Root","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","10,548",0,57.14,0.00,
"Caller","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_TaskProcHandle::_RunChoreBridge","10,548",0,57.14,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",1,0,0.01,0.00,
"Callee","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","10,546",0,57.13,0.00,
"Root","Concurrency::details::_Task_impl_base::_ScheduleTask","Concurrency::details::_Task_impl_base::_ScheduleTask",8,0,0.04,0.00,
"Caller","Concurrency::details::_Task_impl_base::_ScheduleTask","Concurrency::task<void>::task<void><<lambda_1c025fab119a2cfd55026f7f1a9a9e1a> >",3,0,0.02,0.00,
"Caller","Concurrency::details::_Task_impl_base::_ScheduleTask","Concurrency::task<void>::task<void><<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",1,0,0.01,0.00,
"Caller","Concurrency::details::_Task_impl_base::_ScheduleTask","Concurrency::task<void>::task<void><<lambda_550df6c48817ce6ec49393f9f99350ae> >",4,0,0.02,0.00,
"Callee","Concurrency::details::_Task_impl_base::_ScheduleTask","Concurrency::details::_DefaultPPLTaskScheduler::schedule",8,0,0.04,0.00,
"Root","Concurrency::details::_Task_impl_base::_Task_impl_base","Concurrency::details::_Task_impl_base::_Task_impl_base",1,0,0.01,0.00,
"Caller","Concurrency::details::_Task_impl_base::_Task_impl_base","Concurrency::task<unsigned char>::_CreateImpl",1,0,0.01,0.00,
"Callee","Concurrency::details::_Task_impl_base::_Task_impl_base","[ntdll.dll]",1,1,0.01,0.01,
"Root","Concurrency::details::_Task_impl_base::_Wait","Concurrency::details::_Task_impl_base::_Wait",70,0,0.38,0.00,
"Caller","Concurrency::details::_Task_impl_base::_Wait","std::_Task_async_state<void>::`scalar deleting destructor'",70,0,0.38,0.00,
"Callee","Concurrency::details::_Task_impl_base::_Wait","[msvcp140.dll]",70,0,0.38,0.00,
"Root","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",4,0,0.02,0.00,
"Caller","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",3,0,0.02,0.00,
"Caller","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",1,0,0.01,0.00,
"Callee","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations","[msvcp140.dll]",4,0,0.02,0.00,
"Root","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",2,0,0.01,0.00,
"Caller","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",1,0,0.01,0.00,
"Caller","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",1,0,0.01,0.00,
"Callee","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted","[msvcp140.dll]",2,0,0.01,0.00,
"Root","Concurrency::details::_TaskProcHandle::_RunChoreBridge","Concurrency::details::_TaskProcHandle::_RunChoreBridge","18,006",0,97.54,0.00,
"Caller","Concurrency::details::_TaskProcHandle::_RunChoreBridge","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","18,006",0,97.54,0.00,
"Callee","Concurrency::details::_TaskProcHandle::_RunChoreBridge","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","7,279",0,39.43,0.00,
"Callee","Concurrency::details::_TaskProcHandle::_RunChoreBridge","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_30beb90ccf03f2d3b18357c0d69a2f78>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke",179,0,0.97,0.00,
"Callee","Concurrency::details::_TaskProcHandle::_RunChoreBridge","Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","10,548",0,57.14,0.00,
"Root","Concurrency::task_options::task_options","Concurrency::task_options::task_options",1,0,0.01,0.00,
"Caller","Concurrency::task_options::task_options","std::_Task_async_state<void>::_Task_async_state<void><std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &> >",1,0,0.01,0.00,
"Callee","Concurrency::task_options::task_options","[msvcp140.dll]",1,1,0.01,0.01,
"Root","Concurrency::task<unsigned char>::_CreateImpl","Concurrency::task<unsigned char>::_CreateImpl",3,1,0.02,0.01,
"Caller","Concurrency::task<unsigned char>::_CreateImpl","Concurrency::task<void>::task<void><<lambda_30beb90ccf03f2d3b18357c0d69a2f78> >",1,0,0.01,0.00,
"Caller","Concurrency::task<unsigned char>::_CreateImpl","Concurrency::task<void>::task<void><<lambda_550df6c48817ce6ec49393f9f99350ae> >",2,1,0.01,0.01,
"Callee","Concurrency::task<unsigned char>::_CreateImpl","Concurrency::details::_Task_impl_base::_Task_impl_base",1,0,0.01,0.00,
"Callee","Concurrency::task<unsigned char>::_CreateImpl","operator new",1,0,0.01,0.00,
