Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
71,"[oleaut32.dll]",1,0,0.05,0.00,"oleaut32.dll",
72,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
73,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
74,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
67,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
68,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
69,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
70,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
71,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
61,"[urlmon.dll]",7,0,0.34,0.00,"urlmon.dll",
62,"[ieframe.dll]",7,0,0.34,0.00,"ieframe.dll",
63,"[ieframe.dll]",7,0,0.34,0.00,"ieframe.dll",
64,"[ieframe.dll]",7,0,0.34,0.00,"ieframe.dll",
65,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
66,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
67,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
68,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
69,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
70,"[ieframe.dll]",6,0,0.29,0.00,"ieframe.dll",
71,"[mshtml.dll]",5,0,0.24,0.00,"mshtml.dll",
72,"[mshtml.dll]",5,0,0.24,0.00,"mshtml.dll",
73,"[mshtml.dll]",5,0,0.24,0.00,"mshtml.dll",
74,"[mshtml.dll]",5,0,0.24,0.00,"mshtml.dll",
75,"[mshtml.dll]",4,1,0.19,0.05,"mshtml.dll",
76,"[mshtml.dll]",3,1,0.14,0.05,"mshtml.dll",
77,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
78,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
79,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
80,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
77,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
75,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
76,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
77,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
78,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
71,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
72,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
73,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
74,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
75,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
76,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
77,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
78,"[ucrtbase.dll]",1,1,0.05,0.05,"ucrtbase.dll",
65,"[mshtml.dll]",1,1,0.05,0.05,"mshtml.dll",
59,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
60,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
61,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
62,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
63,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
64,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
65,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
66,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
67,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
68,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
69,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
70,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
71,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
72,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
48,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
49,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
50,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
51,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
52,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
53,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
54,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
55,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
56,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
47,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
48,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
49,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
50,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
51,"[mshtml.dll]",2,0,0.10,0.00,"mshtml.dll",
52,"[mshtml.dll]",2,1,0.10,0.05,"mshtml.dll",
53,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
51,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
52,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
53,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
54,"[kernel32.dll]",1,0,0.05,0.00,"kernel32.dll",
55,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
47,"[ieframe.dll]",2,0,0.10,0.00,"ieframe.dll",
48,"[ieframe.dll]",2,0,0.10,0.00,"ieframe.dll",
49,"[ieframe.dll]",2,0,0.10,0.00,"ieframe.dll",
50,"[ieframe.dll]",2,0,0.10,0.00,"ieframe.dll",
51,"[urlmon.dll]",2,0,0.10,0.00,"urlmon.dll",
52,"[urlmon.dll]",2,0,0.10,0.00,"urlmon.dll",
53,"[urlmon.dll]",2,0,0.10,0.00,"urlmon.dll",
54,"[urlmon.dll]",2,0,0.10,0.00,"urlmon.dll",
55,"[urlmon.dll]",2,0,0.10,0.00,"urlmon.dll",
56,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
57,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
58,"[urlmon.dll]",1,0,0.05,0.00,"urlmon.dll",
59,"[KernelBase.dll]",1,1,0.05,0.05,"KernelBase.dll",
56,"[sspicli.dll]",1,0,0.05,0.00,"sspicli.dll",
57,"[sspicli.dll]",1,0,0.05,0.00,"sspicli.dll",
58,"[rpcrt4.dll]",1,0,0.05,0.00,"rpcrt4.dll",
59,"[rpcrt4.dll]",1,0,0.05,0.00,"rpcrt4.dll",
60,"[rpcrt4.dll]",1,0,0.05,0.00,"rpcrt4.dll",
61,"[rpcrt4.dll]",1,0,0.05,0.00,"rpcrt4.dll",
62,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
46,"[iertutil.dll]",4,0,0.19,0.00,"iertutil.dll",
47,"[iertutil.dll]",4,0,0.19,0.00,"iertutil.dll",
48,"[urlmon.dll]",4,0,0.19,0.00,"urlmon.dll",
49,"[urlmon.dll]",4,0,0.19,0.00,"urlmon.dll",
50,"[urlmon.dll]",4,0,0.19,0.00,"urlmon.dll",
51,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
52,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
53,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
54,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
55,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
56,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
57,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
58,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
59,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
60,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
61,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
62,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
63,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
64,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
65,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
66,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
67,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
68,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
69,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
70,"[KernelBase.dll]",3,0,0.14,0.00,"KernelBase.dll",
71,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
72,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
73,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
74,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
75,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
76,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
77,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
78,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
79,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
80,"[mshtml.dll]",3,0,0.14,0.00,"mshtml.dll",
81,"[mshtml.dll]",2,0,0.10,0.00,"mshtml.dll",
82,"[mshtml.dll]",2,0,0.10,0.00,"mshtml.dll",
83,"[mshtml.dll]",2,0,0.10,0.00,"mshtml.dll",
84,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
85,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
86,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
87,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
88,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
89,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
90,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
91,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
92,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
93,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
84,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
85,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
86,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
87,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
88,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
89,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
90,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
91,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
92,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
93,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
94,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
95,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
96,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
97,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
98,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
99,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
81,"[msvcrt.dll]",1,0,0.05,0.00,"msvcrt.dll",
82,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
83,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
84,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
85,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
86,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
87,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
88,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
89,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
90,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
91,"[mshtml.dll]",1,0,0.05,0.00,"mshtml.dll",
92,"[mshtml.dll]",1,1,0.05,0.05,"mshtml.dll",
70,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
71,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
72,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
73,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
74,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
75,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
76,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
77,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
78,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
79,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
80,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
45,"[ScriptedSandbox64.exe]",2,0,0.10,0.00,"ScriptedSandbox64.exe",
46,"[KernelBase.dll]",2,0,0.10,0.00,"KernelBase.dll",
47,"[KernelBase.dll]",2,0,0.10,0.00,"KernelBase.dll",
48,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
48,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
49,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
43,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
44,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
45,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
46,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
43,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
44,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
45,"[KernelBase.dll]",1,1,0.05,0.05,"KernelBase.dll",
42,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
43,"[user32.dll]",1,1,0.05,0.05,"user32.dll",
41,"[kernel32.dll]",1,1,0.05,0.05,"kernel32.dll",
37,"[windows.storage.dll]",1,0,0.05,0.00,"windows.storage.dll",
38,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
39,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
40,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
41,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
42,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
43,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
44,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
45,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
46,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
47,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
48,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
49,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
50,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
51,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
52,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
53,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
54,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
55,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
56,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
57,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
58,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
59,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
60,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
61,"[combase.dll]",1,0,0.05,0.00,"combase.dll",
62,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
63,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
64,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
65,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
66,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
67,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
68,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
36,"[shell32.dll]",1,0,0.05,0.00,"shell32.dll",
37,"[shell32.dll]",1,0,0.05,0.00,"shell32.dll",
38,"[windows.storage.dll]",1,0,0.05,0.00,"windows.storage.dll",
39,"[windows.storage.dll]",1,0,0.05,0.00,"windows.storage.dll",
40,"[shlwapi.dll]",1,0,0.05,0.00,"shlwapi.dll",
41,"[SHCore.dll]",1,0,0.05,0.00,"SHCore.dll",
42,"[SHCore.dll]",1,0,0.05,0.00,"SHCore.dll",
43,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
44,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
45,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
46,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
22,"[win32u.dll]",3,3,0.14,0.14,"win32u.dll",
21,"[ScriptedSandbox64.exe]",4,0,0.19,0.00,"ScriptedSandbox64.exe",
22,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
23,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
24,"[user32.dll]",3,0,0.14,0.00,"user32.dll",
25,"[win32u.dll]",3,2,0.14,0.10,"win32u.dll",
26,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
27,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
28,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
29,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
30,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
31,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
32,"[win32u.dll]",1,0,0.05,0.00,"win32u.dll",
33,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
21,"[user32.dll]",2,0,0.10,0.00,"user32.dll",
22,"[user32.dll]",2,0,0.10,0.00,"user32.dll",
23,"[user32.dll]",2,0,0.10,0.00,"user32.dll",
24,"[win32u.dll]",2,2,0.10,0.10,"win32u.dll",
21,"[comctl32.dll]",1,0,0.05,0.00,"comctl32.dll",
22,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
23,"[user32.dll]",1,0,0.05,0.00,"user32.dll",
24,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
20,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
21,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
22,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
23,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
24,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
25,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
26,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
27,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
28,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
29,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
30,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
31,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
32,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
33,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
34,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
35,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
36,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
19,"[ScriptedSandbox64.exe]",2,0,0.10,0.00,"ScriptedSandbox64.exe",
20,"[oleaut32.dll]",2,0,0.10,0.00,"oleaut32.dll",
21,"[oleaut32.dll]",2,0,0.10,0.00,"oleaut32.dll",
22,"[oleaut32.dll]",2,0,0.10,0.00,"oleaut32.dll",
23,"[KernelBase.dll]",2,0,0.10,0.00,"KernelBase.dll",
24,"[KernelBase.dll]",2,0,0.10,0.00,"KernelBase.dll",
25,"[ntdll.dll]",2,2,0.10,0.10,"ntdll.dll",
16,"[combase.dll]",6,0,0.29,0.00,"combase.dll",
17,"[combase.dll]",6,0,0.29,0.00,"combase.dll",
18,"[combase.dll]",6,0,0.29,0.00,"combase.dll",
19,"[combase.dll]",5,0,0.24,0.00,"combase.dll",
20,"[combase.dll]",5,0,0.24,0.00,"combase.dll",
21,"[combase.dll]",5,0,0.24,0.00,"combase.dll",
22,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
23,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
24,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
25,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
26,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
27,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
28,"[combase.dll]",4,0,0.19,0.00,"combase.dll",
29,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
30,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
31,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
32,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
33,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
34,"[combase.dll]",3,0,0.14,0.00,"combase.dll",
35,"[KernelBase.dll]",3,0,0.14,0.00,"KernelBase.dll",
36,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
37,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
38,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
39,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
40,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
41,"[ntdll.dll]",3,0,0.14,0.00,"ntdll.dll",
42,"[ntdll.dll]",3,1,0.14,0.05,"ntdll.dll",
43,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
44,"[netutils.dll]",1,0,0.05,0.00,"netutils.dll",
45,"[netutils.dll]",1,0,0.05,0.00,"netutils.dll",
46,"[netutils.dll]",1,0,0.05,0.00,"netutils.dll",
47,"[netutils.dll]",1,1,0.05,0.05,"netutils.dll",
43,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
44,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
45,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
46,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
47,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
48,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
49,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
50,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
51,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
52,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
53,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
54,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,0,0.05,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
29,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
30,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
31,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
32,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
33,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
34,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
35,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
36,"[iertutil.dll]",1,0,0.05,0.00,"iertutil.dll",
37,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
38,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
39,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
40,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
41,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
22,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
23,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
24,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
25,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
26,"[KernelBase.dll]",1,0,0.05,0.00,"KernelBase.dll",
27,"[ntdll.dll]",1,1,0.05,0.05,"ntdll.dll",
19,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
20,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
21,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
22,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
23,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
24,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
13,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
14,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
6,"[win32u.dll]",10,3,0.48,0.14,"win32u.dll",
7,"[ntdll.dll]",7,0,0.34,0.00,"ntdll.dll",
8,"[user32.dll]",7,0,0.34,0.00,"user32.dll",
9,"[user32.dll]",7,0,0.34,0.00,"user32.dll",
10,"[user32.dll]",6,0,0.29,0.00,"user32.dll",
11,"[atlthunk.dll]",5,0,0.24,0.00,"atlthunk.dll",
12,"[ScriptedSandbox64.exe]",5,0,0.24,0.00,"ScriptedSandbox64.exe",
13,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
14,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
15,"[atlthunk.dll]",5,0,0.24,0.00,"atlthunk.dll",
16,"[ScriptedSandbox64.exe]",5,0,0.24,0.00,"ScriptedSandbox64.exe",
17,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
18,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
19,"[ScriptedSandbox64.exe]",5,0,0.24,0.00,"ScriptedSandbox64.exe",
20,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
21,"[uxtheme.dll]",5,0,0.24,0.00,"uxtheme.dll",
22,"[uxtheme.dll]",5,0,0.24,0.00,"uxtheme.dll",
23,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
24,"[user32.dll]",5,0,0.24,0.00,"user32.dll",
25,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
26,"[win32u.dll]",4,0,0.19,0.00,"win32u.dll",
27,"[ntdll.dll]",4,0,0.19,0.00,"ntdll.dll",
28,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
29,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
30,"[user32.dll]",4,0,0.19,0.00,"user32.dll",
31,"[atlthunk.dll]",4,0,0.19,0.00,"atlthunk.dll",
32,"[ScriptedSandbox64.exe]",4,0,0.19,0.00,"ScriptedSandbox64.exe",
33,"[ieframe.dll]",4,0,0.19,0.00,"ieframe.dll",
34,"[win32u.dll]",4,4,0.19,0.19,"win32u.dll",
25,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
11,"[ieframe.dll]",1,0,0.05,0.00,"ieframe.dll",
12,"[ieframe.dll]",1,1,0.05,0.05,"ieframe.dll",
10,"[ScriptedSandbox64.exe]",1,0,0.05,0.00,"ScriptedSandbox64.exe",
11,"[win32u.dll]",1,1,0.05,0.05,"win32u.dll",
6,"[ieframe.dll]",7,0,0.34,0.00,"ieframe.dll",
